"","scenario","type","method1","method2","distance"
"513","323","IMPACT","classic","weighted",0.2812
"514","323","OCCURRENCE","classic","weighted",0.3137
"515","323","IMPACT","classic","pooling",0.7656
"516","323","OCCURRENCE","classic","pooling",0.7188
"517","323","IMPACT","area","center",0.1277
"518","323","OCCURRENCE","area","center",0.1137
"519","323","IMPACT","area","centertogrid",0.2834
"520","323","OCCURRENCE","area","centertogrid",0.21
"521","323","IMPACT","area","reachedgrid",0.1874
"522","323","OCCURRENCE","area","reachedgrid",0.1792
"523","323","IMPACT","area","weighted",0.0592
"524","323","OCCURRENCE","area","weighted",0.0354
"525","323","IMPACT","area","pooling",0.5662
"526","323","OCCURRENCE","area","pooling",0.6194
"527","323","IMPACT","center","centertogrid",0.2656
"528","323","OCCURRENCE","center","centertogrid",0.1654
"529","323","IMPACT","center","reachedgrid",0.2246
"530","323","OCCURRENCE","center","reachedgrid",0.1958
"531","323","IMPACT","center","weighted",0.0733
"532","323","OCCURRENCE","center","weighted",0.0788
"533","323","IMPACT","center","pooling",0.5
"534","323","OCCURRENCE","center","pooling",0.5781
"535","323","IMPACT","centertogrid","reachedgrid",0.1196
"536","323","OCCURRENCE","centertogrid","reachedgrid",0.0904
"537","323","IMPACT","centertogrid","weighted",0.2305
"538","323","OCCURRENCE","centertogrid","weighted",0.1853
"539","323","IMPACT","centertogrid","pooling",0.6562
"540","323","OCCURRENCE","centertogrid","pooling",0.5873
"541","323","IMPACT","reachedgrid","weighted",0.2403
"542","323","OCCURRENCE","reachedgrid","weighted",0.1754
"543","323","IMPACT","reachedgrid","pooling",0.7246
"544","323","OCCURRENCE","reachedgrid","pooling",0.5565
"545","323","IMPACT","weighted","pooling",0.5151
"546","323","OCCURRENCE","weighted","pooling",0.5915
"547","325","IMPACT","classic","area",0.2917
