BenutzerID;Typ;QuesID;Method;Answered;Sort;Impact;Occurrence;X1pct;Y1pct;X2pct;Y2pct;Duration
881;Risiko;298;classic;ja;25;3;4;;;;;20
881;Risiko;281;classic;ja;26;3;3;;;;;25
881;Risiko;282;classic;ja;27;5;3;;;;;23
881;Risiko;283;classic;ja;28;4;3;;;;;15
881;Risiko;284;classic;ja;29;5;2;;;;;22
881;Risiko;285;classic;ja;30;4;4;;;;;23
881;Risiko;286;classic;ja;31;3;4;;;;;34
881;Chance;287;classic;ja;32;4;5;;;;;25
881;Chance;288;classic;ja;33;3;3;;;;;17
881;Risiko;289;classic;ja;34;5;2;;;;;20
881;Chance;290;classic;ja;35;4;4;;;;;11
881;Chance;291;classic;ja;36;5;4;;;;;19
881;Chance;292;classic;ja;37;4;4;;;;;9
881;Chance;293;classic;ja;38;3;3;;;;;15
881;Chance;294;classic;ja;39;3;4;;;;;18
881;Risiko;295;classic;ja;40;4;4;;;;;14
881;Risiko;296;classic;ja;41;4;3;;;;;13
881;Risiko;320;classic;ja;42;4;3;;;;;21
881;Risiko;321;classic;ja;43;4;4;;;;;13
881;Risiko;299;classic;ja;44;4;1;;;;;11
881;Risiko;300;classic;ja;45;5;2;;;;;15
881;Risiko;301;classic;ja;46;4;1;;;;;15
881;Risiko;302;classic;ja;47;4;1;;;;;9
881;Risiko;303;classic;ja;48;4;1;;;;;10
881;Risiko;304;classic;ja;49;3;4;;;;;16
881;Risiko;305;classic;ja;50;4;1;;;;;16
881;Risiko;306;classic;ja;51;4;2;;;;;20
881;Risiko;307;classic;ja;52;3;3;;;;;8
881;Risiko;308;classic;ja;53;5;2;;;;;21
881;Chance;309;classic;ja;54;4;3;;;;;10
881;Risiko;310;classic;ja;55;5;1;;;;;9
881;Risiko;311;classic;ja;56;5;2;;;;;11
881;Risiko;312;classic;ja;57;3;2;;;;;13
881;Risiko;313;classic;ja;58;4;3;;;;;27
881;Risiko;314;classic;ja;59;3;3;;;;;14
881;Risiko;315;classic;ja;60;4;1;;;;;23
881;Risiko;316;classic;ja;61;4;2;;;;;15
